,0
0,-10.0
1,-9.9
2,-9.8
3,-9.700000000000001
4,-9.600000000000001
5,-9.500000000000002
6,-9.400000000000002
7,-9.300000000000002
8,-9.200000000000003
9,-9.100000000000003
10,-9.000000000000004
11,-8.900000000000004
12,-8.800000000000004
13,-8.700000000000005
14,-8.600000000000005
15,-8.500000000000005
16,-8.400000000000006
17,-8.300000000000006
18,-8.200000000000006
19,-8.100000000000007
20,-8.000000000000007
21,-7.9000000000000075
22,-7.800000000000008
23,-7.700000000000008
24,-7.6000000000000085
25,-7.500000000000009
26,-7.400000000000009
27,-7.30000000000001
28,-7.20000000000001
29,-7.10000000000001
30,-7.000000000000011
31,-6.900000000000011
32,-6.800000000000011
33,-6.700000000000012
34,-6.600000000000012
35,-6.500000000000012
36,-6.400000000000013
37,-6.300000000000013
38,-6.2000000000000135
39,-6.100000000000014
40,-6.000000000000014
41,-5.900000000000015
42,-5.800000000000015
43,-5.700000000000015
44,-5.600000000000016
45,-5.500000000000016
46,-5.400000000000016
47,-5.300000000000017
48,-5.200000000000017
49,-5.100000000000017
50,-5.000000000000018
51,-4.900000000000018
52,-4.8000000000000185
53,-4.700000000000019
54,-4.600000000000019
55,-4.5000000000000195
56,-4.40000000000002
57,-4.30000000000002
58,-4.200000000000021
59,-4.100000000000021
60,-4.000000000000021
61,-3.9000000000000217
62,-3.800000000000022
63,-3.7000000000000224
64,-3.6000000000000227
65,-3.500000000000023
66,-3.4000000000000234
67,-3.300000000000024
68,-3.200000000000024
69,-3.1000000000000245
70,-3.000000000000025
71,-2.9000000000000252
72,-2.8000000000000256
73,-2.700000000000026
74,-2.6000000000000263
75,-2.5000000000000266
76,-2.400000000000027
77,-2.3000000000000274
78,-2.2000000000000277
79,-2.100000000000028
80,-2.0000000000000284
81,-1.9000000000000288
82,-1.8000000000000291
83,-1.7000000000000295
84,-1.6000000000000298
85,-1.5000000000000302
86,-1.4000000000000306
87,-1.300000000000031
88,-1.2000000000000313
89,-1.1000000000000316
90,-1.000000000000032
91,-0.9000000000000323
92,-0.8000000000000327
93,-0.700000000000033
94,-0.6000000000000334
95,-0.5000000000000338
96,-0.4000000000000341
97,-0.30000000000003446
98,-0.20000000000003482
99,-0.10000000000003517
100,-3.552713678800501e-14
101,0.09999999999996412
102,0.19999999999996376
103,0.2999999999999634
104,0.39999999999996305
105,0.4999999999999627
106,0.5999999999999623
107,0.699999999999962
108,0.7999999999999616
109,0.8999999999999613
110,0.9999999999999609
111,1.0999999999999606
112,1.1999999999999602
113,1.2999999999999599
114,1.3999999999999595
115,1.4999999999999591
116,1.5999999999999588
117,1.6999999999999584
118,1.799999999999958
119,1.8999999999999577
120,1.9999999999999574
121,2.099999999999957
122,2.1999999999999567
123,2.2999999999999563
124,2.399999999999956
125,2.4999999999999556
126,2.5999999999999552
127,2.699999999999955
128,2.7999999999999545
129,2.899999999999954
130,2.999999999999954
131,3.0999999999999535
132,3.199999999999953
133,3.2999999999999527
134,3.3999999999999524
135,3.499999999999952
136,3.5999999999999517
137,3.6999999999999513
138,3.799999999999951
139,3.8999999999999506
140,3.9999999999999503
141,4.09999999999995
142,4.1999999999999496
143,4.299999999999949
144,4.399999999999949
145,4.4999999999999485
146,4.599999999999948
147,4.699999999999948
148,4.799999999999947
149,4.899999999999947
150,4.999999999999947
151,5.099999999999946
152,5.199999999999946
153,5.299999999999946
154,5.399999999999945
155,5.499999999999945
156,5.599999999999945
157,5.699999999999944
158,5.799999999999944
159,5.8999999999999435
160,5.999999999999943
161,6.099999999999945
162,6.1999999999999424
163,6.29999999999994
164,6.399999999999942
165,6.499999999999943
166,6.599999999999941
167,6.699999999999939
168,6.79999999999994
169,6.899999999999942
170,6.99999999999994
171,7.0999999999999375
172,7.199999999999939
173,7.29999999999994
174,7.399999999999938
175,7.499999999999936
176,7.5999999999999375
177,7.699999999999939
178,7.799999999999937
179,7.899999999999935
180,7.999999999999936
181,8.099999999999937
182,8.199999999999935
183,8.299999999999933
184,8.399999999999935
185,8.499999999999936
186,8.599999999999934
187,8.699999999999932
188,8.799999999999933
189,8.899999999999935
190,8.999999999999932
191,9.09999999999993
192,9.199999999999932
193,9.299999999999933
194,9.399999999999931
195,9.499999999999929
196,9.59999999999993
197,9.699999999999932
198,9.79999999999993
199,9.899999999999928
